ID,Tweet,Created_at,Location,Geo_coordinates,Followers_for_the_user,Friends,Sentiment_analysis
1070802683639009281,"RT @TeaPainUSA: Combine this with a Maria Butina plea deal and you got a Russian ruble-storm of dirty money and collusion. 

https://t.co/C…",2018-12-06 22:10:28,here...suspended in time..😒,None,3224,4999,-0.3
1070802683714367490,"RT @CREWcrew: After this winter, Trump’s golf cart expenses will total almost $400,000, an apparent modern record. That’s $400,000 in taxpa…",2018-12-06 22:10:29,,None,104,132,0.08333333333333333
1070802683668369408,"RT @kelly2277: 💥🎤💥How is the killing and coverup of Khashoggi involved in ZTE, Lido City in Indonesia and rare earth elements and Saudia Ar…",2018-12-06 22:10:28,,None,798,1125,0.3
1070802683781500928,"RT @peterdaou: How many times are women politicians going to be told to go away, to shut up, to quit, to go knit? How many times are people…",2018-12-06 22:10:29,Germany,None,14468,11713,0.5
1070802684255571969,RT @Rosie: yes - this is how its done ... https://t.co/yd12TJ2DLO,2018-12-06 22:10:29,"Chicago, IL",None,490,1501,0.0
1070802684360491009,"RT @LeahR77: Leftists say @POTUS isn’t respected !
Let’s see..
Macron’s country is burning while his police force &amp; firefighters stand w th…",2018-12-06 22:10:29,,None,931,1061,0.0
1070802684549185537,"RT @DanRather: Trump apparently shrugged off coming debt crisis with ""Yeah, but I won't be here."" Sadly that sentiment could also apply to…",2018-12-06 22:10:29,,None,212,843,-0.225
1070802684515622913,RT @TeaPainUSA: Markets are in freefall due to lack of market stability. Market stability is directly linked to investor confidence and inv…,2018-12-06 22:10:29,"Liberty, Missouri USA",None,373,299,-0.012499999999999997
1070802684465348608,"RT @AaronBlake: What William Barr has said:

1) More Clinton probes needed
2) Uranium One more worthy of investigation than collusion
3) Co…",2018-12-06 22:10:29,North America-U.S. ,None,1025,5001,0.4444444444444444
1070802684632981504,"RT @PalmerReport: Donald Trump’s day so far:

- Did Michael Flynn wear a wire?
- Steve Bannon testifies again
- Mueller knows everything
-…",2018-12-06 22:10:29,Hollywood⭐️CA🌴US🗽Earth🌎,None,4356,5004,0.1
1070802684586782720,"RT @stevebenen: Trump last month: ""I have answered [Mueller's questions] very easily.""

Giuliani this month: ""Answering those questions was…",2018-12-06 22:10:29,Kingston,None,227,395,0.2816666666666667
1070802684335271936,"RT @SeanPlambeck: President Trump has railed against undocumented immigrants. But at one of his New Jersey golf clubs, current and former w…",2018-12-06 22:10:29,San Francisco,None,423,349,0.04545454545454545
1070802684461101057,"RT @matthewamiller: Because Mueller blots out the sun, I think people are missing the importance of what SDNY might say about Cohen's coope…",2018-12-06 22:10:29,U.S.A.,None,505,462,-0.2
1070802684721000449,"RT @CREWcrew: Earlier this year, Trump’s hotel in New York experienced a revenue bump after members of the Saudi prince’s entourage stayed…",2018-12-06 22:10:29,"Pismo Beach, CA",None,6370,6897,0.31212121212121213
1070802684553371648,@MarianCantwellF @FoxNews @chriswallace @POTUS @FLOTUS @ChrisWallace has shown he has no class and no respect for P… https://t.co/ltBvzVLJ6q,2018-12-06 22:10:29,United States,None,34278,34787,0.0
1070802684771414016,"Re FBI raid on whistleblower Cain's home: ""The logic is clear - if the original evidence is destroyed, the  prosecu… https://t.co/ifkRSeh6Qv",2018-12-06 22:10:29,,None,445,570,0.23750000000000002
1070802684775677953,RT @Rasmussen_Poll: #ICYMI: Have you seen #Trump's daily job approval numbers for today?  https://t.co/mazBCW77nY  @POTUS @realDonaldTrump…,2018-12-06 22:10:29,"Laurel, MS",None,1208,1256,0.0
1070802685140574209,RT @DavidCornDC: EXCLUSIVE: Documents point to illegal campaign coordination between Trump and the NRA https://t.co/Ljzs3nsnxZ via @MotherJ…,2018-12-06 22:10:29,Montreal,None,65,645,-0.5
1070802685492776960,"RT @MsMollyRachael: Hillary Clinton stood in the heat for 90 mins w/pneumonia to honor those lost on 9/11, almost passing out

Trump, who c…",2018-12-06 22:10:29,"Carlsbad, CA",None,1239,906,0.0
1070802685765414912,The Late George H. W. Bush’s Book Warned Us About Trump’s Presidency: Not Excited About Him Being A Leader https://t.co/JZM6GUB7wX,2018-12-06 22:10:29,United States,None,32,48,-0.24375
1070802685715050496,@TheJuanWilliams . Trump when he first went to the White House he called it a dump. Trump said he was the worst pre… https://t.co/JZgwfL7MgP,2018-12-06 22:10:29," Las Vegas !!!! Syr,,,",None,590,3874,-0.25
1070802685794885633,The news isn't the news any more - it is like reality TV. #MAGA,2018-12-06 22:10:29,Southeastern Wisconsin,None,3925,4881,0.5
1070802686247763968,@4344chicago @Alyssa_Milano Trump does not care about anyone other then his daughter and a little for jr the rest o… https://t.co/UCSGLfhD4S,2018-12-06 22:10:29,united states,None,200,839,-0.15625
1070802687086739457,"RT @brianklaas: The stock market on the day Trump signed the tax bill: 24,754

The stock market today, nearly a year later: 24,480.

That's…",2018-12-06 22:10:29,"England, United Kingdom",None,785,540,0.05
1070802686931595264,"RT @KaraCalavera: Imagine being dragged by your own party for decades because you spelled ""potato"" wrong and then watching them lay prostra…",2018-12-06 22:10:29,"Richmond, VA",None,1126,1154,0.04999999999999999
